Issue Number,Issue Title,Time to Close,Number of Assignees,Number of Comments,Number of Labels,Type of Issue
58797,Bug when using TFLite converter - error message suggests to send it to you,0,1,3,5,['Bug']
58791,TF2.9 perf is slower,29,2,15,5,['Other']
58786,Tensorflow Layer Reshape not working for same size arrays,22,1,7,5,['Bug']
58783,A error when using tfmot.quantization.keras.quantize_model to quantize keras model,49,1,16,6,['Bug']
58780,Memory overflow using timeseries_dataset_from_array,14,1,3,6,['Other']
58776,importError,15,1,4,5,['Bug']
58774,Could not find a version that satisfies the requirement tensorflow (from versions: none),8,1,8,4,['Other']
58773,Tensorflow 2.11.0 is incompatible with python 3.10.8,2,1,5,5,['Other']
58766,//tensorflow/compiler/xla/tools:interactive_graphviz_build_only_test fails to build,4,1,3,4,['Other']
58761,Legalization TFL.Call_Once to TOSA Insert Pattern Failure,0,1,0,1,['Other']
58757,"Re-creation of old environment with TF 1.0.1 leads to ""No module named _pywrap_tensorflow"" issue",14,1,4,4,['Other']
58752,Enabling tf.function(jit_compile=True) causes inconsistent results,33,1,5,6,['Bug']
58751,Error in inference when the model is exported with ,19,1,4,5,['Bug']
58750,The same problem exists with tf.scatter_nd.,0,1,0,0,['Other']
58747,tf.numpy_function in tf.data.Dataset.map causes CUDA_ERROR_OUT_OF_MEMORY after hundreds of epochs,18,1,5,4,['Bug']
58745,tflite build for armhf crashes in 2.10 and 2.11,43,2,4,5,['Critical']
58737,tf.keras.metrics.mean_absolute_error exception information is misleading.,0,1,9,3,['Bug']
58731,TF 2.11 fails to compile on Linux with GPU support - Model Loads - Inference Fails,58,1,9,5,['Other']
58729,GPU could not be recognized on Windows 11,15,1,6,6,['Other']
58728,Tensorflow v2.10.0 incompatible with flatbuffer v2.0.5,21,1,4,5,['Other']
58726,MultiHeadAttention layer bug with attention_mask computation if we pass attention_axes,59,1,5,5,['Bug']
58723,Cannot install tensorflow 2.3.0,7,1,5,4,['Other']
58722,Mac M1 ,15,1,4,5,['Other']
58716,ImportError: libflatbuffers.so.2,15,1,4,5,['Bug']
58715,On threading library using the GPU implementing multithreaded RL algorithm,21,1,10,5,['Other']
58714,problem in 'tf.mlir.experimental.convert_function' translation to tosa of 'tf.reduce_sum' operation,59,1,10,5,['Bug']
58713,True==1、False==0?,0,1,3,3,['Bug']
58712,tf.keras.layers.Layer runs successfully with inappropriate parameters.,1,1,2,3,['Other']
58711,BatchNormalization error in low version?,0,1,2,3,['Bug']
58709,error occurs when convert a tflite model with uint8 inference_input_type during quantization-aware-training,2,1,5,5,['Bug']
58708,"tfp.JointDistributionSequential._build() -> line 236, in _build     if not isinstance(model, collections.Sequence): AttributeError: module 'collections' has no attribute 'Sequence'",15,1,11,3,['Bug']
58706,Movenet low fps on movenet's official example app - GPU issue,7,1,3,5,['Bug']
58704,how to fix sBad??,0,1,0,0,['Other']
58702,tf.image.rot90 has inconsistent results in different TensorFlow versions.,1,1,6,3,['Bug']
58698,tf.image.adjust_hue runs incorrectly on TensorFlow 2.4 version,1,1,5,3,['Bug']
58695,The information thrown by the tf.saturate_cast operator in different TensorFlow versions does not match the description in the documentation.,19,1,6,5,"['Bug', 'Documentation']"
58694,Incompatible Bazel version with the docs,22,1,6,4,['Other']
58693,tf.math.add runs successfully Documentation Unsupported type: uint16,40,1,5,5,"['Bug', 'Documentation']"
58692,AttributeError: module 'tensorflow._api.v2.nn' has no attribute 'seq2seq',1,1,0,3,['Bug']
58691,Load Model using load_model throws error when there is a Lambda layer in the model,16,1,4,5,['Bug']
58690,Bug: TypeError: can't multiply sequence by non-int of type 'NoneType',1,1,3,1,['Bug']
58689,installing tensor flow on m2,18,1,6,4,['Other']
58686,AttributeError: 'tensorflow.python.framework.ops.EagerTensor' object has no attribute '_unique_id',3,1,3,4,['Bug']
58684,How to set the half_pixel_centers of ResizeBilinear to False in the .tflite?,0,1,2,3,['Other']
58682,<spam>,0,1,0,0,['Other']
58681,Can't find libdevice directory ${CUDA_DIR}/nvvm/libdevice.,20,1,18,7,['Other']
58680,TensorFlow Lite Model Maker has version conflict during install,32,1,6,6,['Other']
58673,Crashes with exit code 135 in model.fit,14,1,4,3,"['Critical', 'Bug']"
58669,Feature request (TensorFlow Lite): Implement mechanism to load Flex ops in C for Android,17,1,3,5,['enhancement']
58668,Have TensorFlow Lite convert keras.LSTM layers without requiring Flex ops,17,1,4,6,['Bug']
58666,Regularizer loss out of scope in train step when loss includes conditional statements,14,1,4,4,['Bug']
58663,TFlite IOS will not build when imported as part of a package. 100+ Undefined Symbols reported at link phase,0,1,2,3,['Other']
58662,Type Inference Failure for LSTM with masking using Nvidia GPU,15,1,4,5,['Bug']
58660,TF Lite GPU Delegate not working on android for Movenet,0,1,3,5,['Bug']
58655,Inconsistency in connection with setting both clipnorm and global_clipnorm attibute for an optimizer,2,1,3,4,['Bug']
58652,Want to train some actions yourself,14,1,4,5,['Bug']
58651,Is there a way to use a tflite-runtime version higher than 2.5.0 on an armv7 development board,14,1,6,6,['Other']
58650,"Thanks for pinging @bhack .  There's one internal failure that's likely caused by bad test - but the test itself is protected/hidden, so I can't verify or fix it.  I've reached out to the affected team.",0,1,0,0,['Other']
58648,unit test //tensorflow/python/kernel_tests/math_ops:batch_matmul_op_test_gpu fails on P100,12,1,5,5,['Other']
58644,AttributeError: 'Tensor' object has no attribute 'ndim',2,1,8,3,['Bug']
58642,MoviNet has memory leak,22,1,9,4,['Bug']
58641,tf.io.gfile.rename cause UnicodeError on non-English Windows,58,1,7,5,['Bug']
58635,"Select TensorFlow op(s), included in the given model, is(are) not supported by this interpreter.",1,1,3,3,['Other']
58634,Wrong invert code in Keras Normalization Layer,0,1,6,4,['Bug']
58633,TensorFlow Lite Quantization Debugger Issue,14,1,4,5,['Bug']
58631,Spam,0,1,0,1,['Other']
58630,Bazel build failure,14,1,4,5,['Other']
58629, Cannot build with CUDA support on Windows.,7,1,8,3,['Other']
58627,Failed to load the native TensorFlow runtime.,14,1,6,3,['Other']
58621,Invalid argument in example,42,1,9,4,['Bug']
58620,TF 2.11 Error: ModuleNotFoundError: No module named 'tensorflow.compat',15,1,5,6,['Bug']
58612,Wrong barplot x-labels in https://www.tensorflow.org/tutorials/audio/simple_audio,30,1,7,4,['Bug']
58611,Tensorflow Lite 2.11.0-rc2 CMake build system broken,3,1,4,4,['Other']
58610,from keras.models import load_model raises no module named tensorflow.compat error,1,1,11,4,['Bug']
58609,gpu metal  lack  ”inference_context_generated.h“,35,1,5,6,['Bug']
58607,Tflite GPU Delegate error for FULLY_CONNECTED,20,1,9,6,['Bug']
58604,TF2.11 Release Estimate?,0,1,2,2,['Other']
58603,TFLite benchmark tool - example to use input_layer_value_files,14,1,4,4,['Other']
58602,Tensorflow 2.10 cannot be installed using `poetry` on linux aarch64,19,1,10,4,['Other']
58599,there is no operator to calculate the matrix's inverse using tflite,15,1,8,5,['Other']
58592,DNN library is not found.,14,1,6,5,['Bug']
58588,BinaryFocalCrossentropy loss not working,1,1,3,4,['Bug']
58587,tf.random.uniform generates identical random numbers when used  both inside and outside tf.while_loop  in a decorated function,34,2,9,5,['Bug']
58555,InputSpec update breaks working code,1,1,4,2,['Other']
58550,TF Lite C library fails to build,2,2,7,4,['Other']
58549,"Trying to train transformer like the NMT Keras Transformer, for passage summarization task. The model's masked accuracy goes upto ~30% but the transformer's output is very poor. Could you help me understand what I might be doing wrong?",15,1,6,5,['Other']
58548,"`tf.identity` docs missing instructions, GPU to CPU",8,1,1,4,['enhancement']
58547,ModuleNotFoundError: No module named '_pywrap_tensorflow'   Failed to load the native TensorFlow runtime.,14,1,7,2,['Bug']
58546,Undefined symbol: _TfLiteXNNPackWeightsCacheDelete,0,1,0,1,['Other']
58545,tensorflow.python.framework.errors_impl.NotFoundError: libimf.so: cannot open shared object file: No such file or directory,0,1,2,1,['Bug']
58544,i have install tensorflow 2.4.1 for the gpu and now i want to install tensorflow_hub ,34,1,12,5,['Other']
58543,i have install tensorflow 2.4.1 for the gpu and now i wanto install tensorflow_hub,15,1,5,5,['Other']
58541,<spam removed>,0,1,0,1,['Other']
58540,CMake errors on building tflite,16,1,4,5,['Bug']
58538,"interactive_graphviz reports error ""Unable to render graph as URL: FAILED_PRECONDITION: Can't render as URL; no URL renderer was registered""",17,1,8,5,['Bug']
58537,tf.io.decode_image fails to load certain PNG files,0,1,1,1,['Bug']
58536,old versions of tflite native benchmark binaries,0,1,3,4,['Other']
58535,No matching distribution found for numba==0.53,0,1,4,1,['Other']
58534,XlaRuntimeError: UNKNOWN: Failed to determine best cudnn convolution algorithm for,76,4,21,5,['Bug']
58531,pip install broke,17,1,5,3,['Other']
58520,How to build with RDMA in new version,34,2,10,5,['Other']
58515,`tf.math.negative` negates only the last element in an all-zero 3x3 matrix on CPU,60,2,13,4,['Bug']
58507,Bug in MLP notebook ,14,1,3,3,['Bug']
58499,Pruning Example broken in TensorFlow 2.9.2,0,1,6,5,['Bug']
58497,Unable to build Tensorflow 2.12.0 Open CL delegate for aarch64 platform,7,1,9,4,['Other']
58496,`tf.experimental.numpy.sort` does not `nan` values to the end as numpy document says,78,2,7,5,['Bug']
58491,Running TensorFlow on SHArC processors?,14,1,7,6,['Other']
58490,Training takes much more time after load saved model(pretrained model),43,1,3,6,['Other']
58488,File system scheme 's3' not implemented,61,2,16,4,['Bug']
58487,release variable memory api ?,42,1,4,5,['Other']
58485,"The tutorial Keras SavedModels from TF 2.7 do not load in TF 2.8, 2.9, 2.10",0,1,6,4,['Bug']
58484,Document behavior of tf.keras.layers.Bidirectional with return_state=True,0,1,2,4,['enhancement']
58481,cmake of tensorflowlite for aarch64 failed with EIGEN_STATIC_ASSERT,51,2,13,4,['Other']
58480,Issue created for Rollback of PR #57674: [NVIDIA TF] Enable BF16 Conv Ops,10,5,3,0,['Other']
58479,`tf.math.pow()` is inaccurate with some small integer values presented by tf.float32 on GPU,2,3,12,5,['Bug']
58472,//tensorflow/python/data/experimental/kernel_tests/service/cross_trainer_cache_test fails on high CPU count,9,1,4,3,['Bug']
58469,`tf.raw_ops.SegmentMax` Behaves Differently Under CPU and GPU,16,1,22,6,['Bug']
58468,Visualizing class activation maps with tflite weights,10,1,7,3,['Other']
58467,"I met an error: In[o] missmatch In[1] shape""3 vs/4:[1,4,4,3] [1,4,4,1]",1,2,5,4,['Bug']
58466,tf.queue.FIFOQueue not savable by tf.saved_model.save in tf2.10,23,2,7,5,['Other']
58465,tf.keras.utils.plot_model fails and outputs large byte string,36,1,12,5,['Bug']
58464,1,0,1,0,0,['Other']
58463,`tf.constant(1)` maxes VRAM,1,1,5,5,['Bug']
58462,Memory Allocation - Training Bug,14,1,4,5,['Bug']
58461,TF 2.10 fails to build gpu support - inference crashes,42,1,7,3,['Critical']
58460,ValueError: An `initial_state` was passed that is not compatible with `cell.state_size`.,0,1,1,2,['Bug']
58459,Getting Troubles when installing tf.2.10_gpu with anaconda virtual env.,17,2,10,5,['Other']
58458,tensorflow-gpu not working,2,1,16,3,['Other']
58454,Tensorflow inference slow down: Repeatedly load and delete Keras model,16,2,7,5,['Other']
58450,`tf.raw_ops.StatelessMultinomial` produces inconsistent results on CPU/GPU,5,2,5,4,['Bug']
58448,How to read .csv file through mapping function of tf.data.dataset?,10,2,10,4,['Other']
58446,Unit test nn_ops:pooling_ops_3d_test_cpu broken with oneDNN enabled,28,2,6,4,['Bug']
58444,TFBertMainLayer cannot be loaded from .h5,3,1,3,4,['Other']
58443,Request Tensorflow Docker container be expanded to support running all models.,14,2,3,3,['enhancement']
58434,"Worker nodes exits early in MultiWorkerMirroredStrategy, causing error task reported on chief node.",14,1,4,5,['Bug']
58433,OperatorNotAllowedInGraphError: using random seed in tf.function,0,2,10,3,['Bug']
58432,Issues with Tensorflow benchmark tool on OpenCL C 1.2,24,1,8,7,['Other']
58431,Why my code get better f1_score on older versions,0,2,11,3,['Bug']
58429,Confusing Problems(Not a ndarray) occur when training wGAN with tensorflow.keras API : train_on_batch,0,1,4,3,['Other']
58428,"I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:980] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero",1,2,6,4,['Other']
58423,Delete the old Java client from TensorFlow main repository,0,1,3,2,['Other']
58419,TF 2.11.0-rc2 fails to compile on Linux with GPU support due to error related to CUDA tensorRT,1,4,14,3,['Bug']
58413,crosstool_wrapper_driver_is_not_gcc failed: error executing command,20,2,8,6,['Bug']
