Issue Number,Issue Title,Time to Close,Number of Assignees,Number of Comments,Number of Labels,Type of Issue
92887,[SDPA] Investigate compiled code not calling the same fused kernel,0,0,2,3,['Other']
92852,Nightly conda CUDA builds timeout since Sat Jan 21th 2023,2,1,10,3,['Critical']
92843,Segfault when running torch.nn.CTCLoss,0,0,1,2,['Bug']
92830,Segfault when running torch.lt,1,0,4,0,['Other']
92827,Segfault when running torch.logical_xor,1,0,1,0,['Other']
92825,munmap_chunk(): invalid pointer when running torch.linalg.ldl_solve,0,0,1,2,['Other']
92819,Segfault when running torch.linalg.inv,1,0,1,0,['Other']
92815,Tensorboard Plugin In VSCode,0,0,1,0,['Other']
92814,`torch.compile` triggers assertion error when explicitly provide `out=None`,1,1,1,3,['Bug']
92809,weight_v seems to be the same as the original weight? (About nn.utils.weight_norm()),0,0,1,2,['Other']
92808,SIGSEGV on a big-endian machine when reading a model generated on a little-endian machine ,0,0,0,3,['Other']
92807,RuntimeError: one of the variables needed for gradient computation has been modified by an inplace operation,3,0,2,3,['Bug']
92800,Segmentation fault when running torch.gt,2,0,1,0,['Other']
92799,Segfault when running torch.eq.py,2,0,1,0,['Other']
92798,FLP when running torch.nn.functional.pixel_shuffle,1,0,2,2,['Other']
92797,Segfault when running torch.div.py,2,0,2,0,['Other']
92796,FLP when running torch.nn.functional.adaptive_max_pool3d,3,0,4,0,['Other']
92795,FLP when running torch.nn.functional.pixel_unshuffle,2,0,2,0,['Other']
92793,Segfault when running torch.lu_unpack,2,0,3,0,['Other']
92792,FLP when running torch.nn.functional.conv_transpose2d,1,0,2,2,['Other']
92791,FLP when running torch.nn.functional.conv_transpose3d,2,0,4,0,['Other']
92790,Crash when running torch.Tensor.is_coalesced,4,1,3,2,['Critical']
92789,Crash when running torch.Tensor.indices,2,0,1,0,['Other']
92786,Crash when running torch.Tensor.coalesce,2,0,2,0,['Other']
92782,Double free when running torch.linalg.ldl_solve,0,0,4,3,['Other']
92780,Segfault when running torch.Tensor.copy_,2,0,1,0,['Other']
92777,Floating point exception when running torch.nn.functional.adaptive_max_pool3d,1,0,3,2,['Other']
92757,sum() not working for SparseTensor,4,1,6,2,['Other']
92684,Crash when using CUDA Graphs and calling ,3,1,12,3,['Critical']
92680,ValueError: At least one stride in the given numpy array is negative,0,0,1,2,['Bug']
92659,Large Memory Regression Between Recent Performance Dashboards,5,0,2,2,['Other']
92656,Make True the default for set_to_none in Optimizer.zero_grad for 2.0 release,5,1,4,5,['enhancement']
92633,TorchInductor Doesnt Support Generators,5,1,7,3,['Other']
92626,"GitHub Incident with Actions, Git Operations and Pages",0,0,0,1,['Other']
92622,Change PyPI installation instruction on getting started page,6,1,0,2,['Other']
92616,A precision error appears on Conv2D's bias,8,0,4,2,['Bug']
92606,Typo in CTCLoss RuntimeError - RuntimeError: target_lengths must be integral,0,0,0,0,['Other']
92602,GitHub issue: Failed to download action,0,0,0,1,['Other']
92586,Setting the `output.requires_grad` to `True` makes backward succeed,1,0,2,0,['Other']
92573,Unable to find MPI backend with Torch 2.0 nightly build from source,6,0,6,3,['Other']
92555,Disabled Tests Disable TestSuite instead of enumerating Each Individual Test,5,0,4,4,['enhancement']
92544,[Bug] repeat_interleave_cuda does not work for big tensors,0,0,1,0,['Other']
92541,state_dict['args'] empty when trying to load,1,0,1,0,['Other']
92540,Crash for ONNX export with masked setting,8,1,0,2,['Critical']
92537,non-deterministic and (sometimes) wrong results from `torch.linalg.lstsq`,1,0,2,3,['Other']
92526,DISABLED test_dict_reconstruct_keeps_original_order_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92524,DISABLED test_guard_failure_fn2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92525,DISABLED test_release_module_memory_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92523,DISABLED test_range_input_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92522,DISABLED test_tensor_item_capture_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92521,DISABLED test_is_tensor_like2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92520,DISABLED test_is_floating_point2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,4,['Other']
92519,DISABLED test_not_dynamic_scope_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92517,DISABLED test_namedtuple2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92516,DISABLED test_numel_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92514,DISABLED test_no_error_on_nested_fx_trace_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Bug']
92515,DISABLED test_torch_cudnn_is_acceptable_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92513,DISABLED test_dictcomp_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92512,DISABLED test_numpy_int_constant_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92511,DISABLED test_tensor_dict2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92510,DISABLED test_tensor_data_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92509,DISABLED test_torch_cuda_is_available_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92508,DISABLED test_top_package_import_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92507,DISABLED test_matmul1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92506,DISABLED test_nn_functional_reduction_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92505,DISABLED test_item_changes_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92504,DISABLED test_listcomp_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92503,DISABLED test_module_deepcopy_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92501,DISABLED test_setattr_mutation1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92502,DISABLED test_optimize_on_module_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92500,DISABLED test_shape_unpack_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92499,DISABLED test_side_effects_codegen_update_mutated_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92498,DISABLED test_release_input_memory_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92497,DISABLED test_is_tensor2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92496,DISABLED test_tensor_dot_grad_no_graph_break_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92495,DISABLED test_no_grad_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92494,DISABLED test_torch_nn_parameter_isinstance_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92493,DISABLED test_tensor_dict1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92492,DISABLED test_tensor_is_contiguous_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92491,DISABLED test_tensor_types_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92490,DISABLED test_slice_input_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92489,DISABLED test_tensor_layout_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92488,DISABLED test_tensor_item_no_capture_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92487,DISABLED test_size_input_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92486,DISABLED test_is_compiling_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92485,DISABLED test_item_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92484,DISABLED test_list_append_return_none_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92483,DISABLED test_manual_seed_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92482,DISABLED test_item_changes_new_shape_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92481,DISABLED test_setattr_mutation3_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92480,DISABLED test_restore_graphstate_internals_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92479,DISABLED test_sample_input_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92478,DISABLED test_setattr_mutation2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92477,DISABLED test_return_nested_function_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92476,DISABLED test_restore_graphstate_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92473,DISABLED test_rand_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92474,DISABLED test_recursive_inline_list_mutation_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92472,DISABLED test_raises_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92471,DISABLED test_python_slice_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92470,DISABLED test_pair_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92469,DISABLED test_onnx_shape_as_tensor_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92468,DISABLED test_object_staticmethod_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92467,DISABLED test_object_classmethod_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92466,DISABLED test_numpy_variable_isinstance_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92465,DISABLED test_nn_sequential_invocation_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92464,DISABLED test_nn_sequential_invocation_reposition_indices_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92463,DISABLED test_nested_optimize_run_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92462,DISABLED test_nested_optimize_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92461,DISABLED test_nested_optimize_decorator_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92460,DISABLED test_nested_closure_mutation_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92459,DISABLED test_nested_disable_decorator_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92458,DISABLED test_nested_closure_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92457,DISABLED test_nan_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92456,DISABLED test_namedtuple3_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92455,DISABLED test_is_tensor_like_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92454,DISABLED test_inline_dict_mutation_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92453,DISABLED test_is_tensor_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92452,DISABLED test_is_floating_point_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92451,DISABLED test_inplace_param_update_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92450,DISABLED test_inline_list_mutation_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92449,DISABLED test_inplace_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92448,DISABLED test_inline_func_jump_on_tensor_condition_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92446,DISABLED test_inference_mode_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92447,DISABLED test_if_cond_nn_mod_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92445,DISABLED test_id_of_nn_module_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92444,DISABLED test_guard_failure_fn_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92442,DISABLED test_graph_break_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92443,DISABLED test_generate_tensor_from_list_of_numpy_primitive_type_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92441,DISABLED test_grad_mode_guard_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92440,DISABLED test_grad_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92439,DISABLED test_get_device_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92438,DISABLED test_frozenset_torch_func_contains_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92437,DISABLED test_function_annotation_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92436,DISABLED test_fold_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92435,DISABLED test_error_on_nested_fx_trace_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Bug']
92434,DISABLED test_enum_no_graphbreaks_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92433,DISABLED test_empty_list_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92432,DISABLED test_dynamo_min_operator_with_shape_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92431,DISABLED test_duplicate_graph_break_warning_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92430,DISABLED test_dunder_methods_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92429,DISABLED test_disallow_in_graph_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92427,DISABLED test_dataclass_fields_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92428,DISABLED test_dict_mutation_side_effect_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92426,DISABLED test_config_log_level_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92425,DISABLED test_config_obj_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92424,DISABLED test_config_getattr_default_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92423,DISABLED test_change_backends_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92422,DISABLED test_cond_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92421,DISABLED test_cell_output2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92420,DISABLED test_cell_output1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92419,DISABLED test_callpacked_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92418,DISABLED test_call_parent_non_class_methods_from_child_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92417,DISABLED test_builtin_isinstance_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92416,DISABLED test_builder_for_class_with_metaclass_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92415,DISABLED test_build_tuple_unpack_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92414,DISABLED test_boolarg_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92413,DISABLED test_autograd_profiler_enabled_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92412,DISABLED test_autograd_profiler_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92411,DISABLED test_autograd_function_equivalence_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92410,DISABLED test_autocast_float64_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92409,DISABLED test_autocast_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92408,DISABLED test_autocast_device_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92407,DISABLED test_autocast_cpu_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92406,DISABLED test_cfgmod_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,2,3,['Other']
92405,DISABLED test_allow_in_graph_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92404,DISABLED test_namedtuple1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,1,3,['Other']
92395,DISABLED test_user_property_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92394,DISABLED test_user_defined_class_name_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92393,DISABLED test_user_function_variable_supports_function_argument_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92392,DISABLED test_user_getattr2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92391,DISABLED test_access_by_keys_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92390,DISABLED test_update_locals_and_stack_uses_shared_cache_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92389,DISABLED test_usr_cls_classmethod_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92388,DISABLED test_unpack4_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92387,DISABLED test_unpack5_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92386,DISABLED test_user_getattr1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92385,DISABLED test_call_fn_with_non_const_inputs_safe_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92384,DISABLED test_user_function_variable_supports_type_abcmeta_argument_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92383,DISABLED test_usr_cls_staticmethod_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92382,DISABLED test_basicmodule1_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92381,DISABLED test_write_to_closures_in_inlining_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),0,0,3,3,['Other']
92368,`torch.compile` generates wrong profiling program for `randn_like`,8,1,1,2,['Other']
92343,Found many unit test failures (with cuda illegal memory access) in distributed/_tensor/test_dtensor_ops.py [v2],1,0,3,2,['Other']
92326,"Cannot build triton at pinned hash: TypeError: can only concatenate str (not ""NoneType"") to str",0,1,1,0,['Other']
92324,`torch.compile` failed on `torch.add` with a constant python number,1,0,1,3,['Other']
92316,DISABLED test_basicmodule2_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),1,0,1,3,['Other']
92301,Distributed tests failing with python 3.11,2,0,2,1,['Other']
92293,The shape inference of com.microsoft::MultiscaleDeformableAttnPlugin_TRT type is missing,6,1,1,2,['Other']
92286,"Torch 2.0 compile fails for EmbeddingBag with mode=""max""",1,0,3,3,['Other']
92233,"Potential bug in .half() - some fp32 numbers are exact in bf16, but not in fp16",0,0,1,0,['Other']
92210,DISABLED test_torch_size_dynamic_shapes (torch._dynamo.testing.make_test_cls_with_patches.<locals>.DummyTestClass),4,0,11,1,['Other']
92209,ONNX Opset 16 GridSample Does Not Support 5D Volumetric Input Tensor,1,0,0,3,['Other']
92208,MPS M1 current_allocated_size() >= m_low_watermark_limit INTERNAL ASSERT FAILED,1,0,1,0,['Other']
